date,IO,trafic
20170101,입구,"1,125,628"
20170101,출구,"1,175,880"
20170101,합계,"2,301,508"
20170102,입구,"1,388,566"
20170102,출구,"1,392,441"
20170102,합계,"2,781,007"
20170103,입구,"1,432,792"
20170103,출구,"1,435,288"
20170103,합계,"2,868,080"
20170104,입구,"1,445,967"
20170104,출구,"1,452,032"
20170104,합계,"2,897,999"
20170105,입구,"1,466,853"
20170105,출구,"1,480,643"
20170105,합계,"2,947,496"
20170106,입구,"1,548,763"
20170106,출구,"1,554,507"
20170106,합계,"3,103,270"
20170107,입구,"1,414,575"
20170107,출구,"1,408,531"
20170107,합계,"2,823,106"
20170108,입구,"1,118,780"
20170108,출구,"1,158,419"
20170108,합계,"2,277,199"
20170109,입구,"1,471,602"
20170109,출구,"1,457,244"
20170109,합계,"2,928,846"
20170110,입구,"1,461,309"
20170110,출구,"1,462,468"
20170110,합계,"2,923,777"
20170111,입구,"1,451,739"
20170111,출구,"1,466,006"
20170111,합계,"2,917,745"
20170112,입구,"1,451,623"
20170112,출구,"1,461,897"
20170112,합계,"2,913,520"
20170113,입구,"1,495,499"
20170113,출구,"1,507,352"
20170113,합계,"3,002,851"
20170114,입구,"1,353,120"
20170114,출구,"1,349,207"
20170114,합계,"2,702,327"
20170115,입구,"1,072,014"
20170115,출구,"1,095,905"
20170115,합계,"2,167,919"
20170116,입구,"1,472,615"
20170116,출구,"1,456,755"
20170116,합계,"2,929,370"
20170117,입구,"1,474,050"
20170117,출구,"1,484,870"
20170117,합계,"2,958,920"
20170118,입구,"1,489,428"
20170118,출구,"1,500,651"
20170118,합계,"2,990,079"
20170119,입구,"1,504,298"
20170119,출구,"1,524,714"
20170119,합계,"3,029,012"
20170120,입구,"1,287,942"
20170120,출구,"1,309,743"
20170120,합계,"2,597,685"
20170121,입구,"1,233,564"
20170121,출구,"1,236,928"
20170121,합계,"2,470,492"
20170122,입구,"947,123"
20170122,출구,"953,463"
20170122,합계,"1,900,586"
20170123,입구,"1,481,881"
20170123,출구,"1,467,653"
20170123,합계,"2,949,534"
20170124,입구,"1,507,204"
20170124,출구,"1,514,813"
20170124,합계,"3,022,017"
20170125,입구,"1,558,258"
20170125,출구,"1,553,202"
20170125,합계,"3,111,460"
20170126,입구,"1,589,273"
20170126,출구,"1,479,736"
20170126,합계,"3,069,009"
20170127,입구,"1,222,272"
20170127,출구,"1,032,825"
20170127,합계,"2,255,097"
20170128,입구,"1,433,756"
20170128,출구,"1,434,264"
20170128,합계,"2,868,020"
20170129,입구,"971,869"
20170129,출구,"1,176,429"
20170129,합계,"2,148,298"
20170130,입구,"932,013"
