"createDt","deathCnt","defCnt","gubun","gubunCn","gubunEn","incDec","isolClearCnt","isolIngCnt","localOccCnt","overFlowCnt","qurRate","seq","stdDay","updateDt"
"2020-08-21 10:16:42.234","0","1310","검역","隔離區","Lazaretto","3","1225","85","0","3","-","3883","2020년 08월 21일 00시","null"
"2020-08-21 10:16:42.234","0","26","제주","<U+6D4E>州","Jeju","0","24","2","0","0","3.88","3882","2020년 08월 21일 00시","null"
"2020-08-21 10:16:42.234","0","178","경남","<U+5E86>南","Gyeongsangnam-do","4","165","13","4","0","5.3","3881","2020년 08월 21일 00시","null"
"2020-08-21 10:16:42.234","54","1431","경북","<U+5E86>北","Gyeongsangbuk-do","6","1354","23","6","0","53.75","3880","2020년 08월 21일 00시","null"
"2020-08-21 10:16:42.233","0","53","전남","全南","Jeollanam-do","6","35","18","6","0","2.84","3879","2020년 08월 21일 00시","null"
"2020-08-21 10:16:42.233","0","63","전북","全北","Jeollabuk-do","5","38","25","5","0","3.47","3878","2020년 08월 21일 00시","null"
"2020-08-21 10:16:42.233","1","237","충남","忠南","Chungcheongnam-do","13","192","44","11","2","11.17","3877","2020년 08월 21일 00시","null"
"2020-08-21 10:16:42.233","0","93","충북","忠北","Chungcheongbuk-do","3","78","15","3","0","5.81","3876","2020년 08월 21일 00시","null"
"2020-08-21 10:16:42.233","3","104","강원","江原","Gangwon-do","9","74","27","9","0","6.75","3875","2020년 08월 21일 00시","null"
"2020-08-21 10:16:42.233","33","2307","경기","京畿","Gyeonggi-do","103","1533","741","102","1","17.41","3874","2020년 08월 21일 00시","null"
"2020-08-21 10:16:42.233","0","56","세종","世宗","Sejong","3","50","6","3","0","16.36","3873","2020년 08월 21일 00시","null"
"2020-08-21 10:16:42.233","1","69","울산","蔚山","Ulsan","1","57","11","1","0","6.02","3872","2020년 08월 21일 00시","null"
"2020-08-21 10:16:42.233","2","185","대전","大田","Daejeon","7","164","19","6","1","12.55","3871","2020년 08월 21일 00시","null"
"2020-08-21 10:16:42.232","2","251","광주","光州","Gwangju","5","207","42","5","0","17.23","3870","2020년 08월 21일 00시","null"
"2020-08-21 10:16:42.232","3","469","인천","仁川","Incheon","18","383","83","17","1","15.87","3869","2020년 08월 21일 00시","null"
"2020-08-21 10:16:42.232","191","6963","대구","大邱","Daegu","4","6752","20","4","0","285.78","3868","2020년 08월 21일 00시","null"
"2020-08-21 10:16:42.232","3","254","부산","釜山","Busan","8","167","84","8","0","7.44","3867","2020년 08월 21일 00시","null"
"2020-08-21 10:16:42.232","16","2621","서울","首<U+5C14>","Seoul","126","1622","983","125","1","26.93","3866","2020년 08월 21일 00시","null"
"2020-08-21 10:16:42.232","309","16670","합계","合<U+8BA1>","Total","324","14120","2241","315","9","32.15","3865","2020년 08월 21일 00시","null"
"2020-08-20 10:18:37.869","0","1307","검역","隔離區","Lazaretto","2","1207","100","0","2","-","3864","2020년 08월 20일 00시","null"
"2020-08-20 10:18:37.869","0","26","제주","<U+6D4E>州","Jeju","0","24","2","0","0","3.88","3863","2020년 08월 20일 00시","null"
"2020-08-20 10:18:37.868","0","174","경남","<U+5E86>南","Gyeongsangnam-do","3","165","9","2","1","5.18","3862","2020년 08월 20일 00시","null"
"2020-08-20 10:18:37.868","54","1425","경북","<U+5E86>北","Gyeongsangbuk-do","5","1354","17","5","0","53.52","3861","2020년 08월 20일 00시","null"
"2020-08-20 10:18:37.868","0","47","전남","全南","Jeollanam-do","3","35","12","2","1","2.52","3860","2020년 08월 20일 00시","null"
"2020-08-20 10:18:37.868","0","58","전북","全北","Jeollabuk-do","6","38","20","5","1","3.19","3859","2020년 08월 20일 00시","null"
"2020-08-20 10:18:37.868","1","224","충남","忠南","Chungcheongnam-do","5","191","32","4","1","10.55","3858","2020년 08월 20일 00시","null"
"2020-08-20 10:18:37.868","0","90","충북","忠北","Chungcheongbuk-do","1","78","12","1","0","5.63","3857","2020년 08월 20일 00시","null"
"2020-08-20 10:18:37.867","3","95","강원","江原","Gangwon-do","5","74","18","5","0","6.17","3856","2020년 08월 20일 00시","null"
"2020-08-20 10:18:37.867","32","2204","경기","京畿","Gyeonggi-do","85","1518","654","81","4","16.63","3855","2020년 08월 20일 00시","null"
"2020-08-20 10:18:37.867","0","53","세종","世宗","Sejong","1","50","3","0","1","15.48","3854","2020년 08월 20일 00시","null"
"2020-08-20 10:18:37.867","1","68","울산","蔚山","Ulsan","0","57","10","0","0","5.93","3853","2020년 08월 20일 00시","null"
"2020-08-20 10:18:37.867","2","178","대전","大田","Daejeon","8","164","12","8","0","12.07","3852","2020년 08월 20일 00시","null"
"2020-08-20 10:18:37.866","2","246","광주","光州","Gwangju","1","207","37","1","0","16.89","3851","2020년 08월 20일 00시","null"
"2020-08-20 10:18:37.866","3","451","인천","仁川","Incheon","10","382","66","10","0","15.26","3850","2020년 08월 20일 00시","null"
