"gubunEn","createDt","deathCnt","defCnt","incDec","isolClearCnt","isolIngCnt","localOccCnt","overFlowCnt","qurRate"
"Total",2020-09-01 09:00:00,"324","20182","235","15198","4660","222","13","38.93"
"Total",2020-08-31 09:00:00,"324","19947","248","14973","4650","238","10","38.47"
"Total",2020-08-30 09:00:00,"323","19699","299","14903","4473","283","16","37.99"
"Total",2020-08-29 09:00:00,"321","19400","323","14765","4314","308","15","37.42"
"Total",2020-08-28 09:00:00,"316","19077","371","14551","4210","359","12","36.79"
"Total",2020-08-27 09:00:00,"313","18706","441","14461","3932","434","7","36.08"
"Total",2020-08-26 09:00:00,"312","18265","320","14368","3585","307","13","35.23"
"Total",2020-08-25 09:00:00,"310","17945","280","14286","3349","264","16","34.61"
"Total",2020-08-24 09:00:00,"309","17665","266","14219","3137","258","8","34.07"
"Total",2020-08-23 09:00:00,"309","17399","397","14200","2890","387","10","33.56"
"Total",2020-08-22 09:00:00,"309","17002","332","14169","2524","315","17","32.79"
"Total",2020-08-21 09:00:00,"309","16670","324","14120","2241","315","9","32.15"
"Total",2020-08-20 09:00:00,"307","16346","288","14063","1976","276","12","31.53"
"Total",2020-08-19 09:00:00,"306","16058","297","14006","1746","283","14","30.97"
"Total",2020-08-18 09:00:00,"306","15761","246","13934","1521","235","11","30.40"
"Total",2020-08-17 09:00:00,"305","15515","197","13917","1293","188","9","29.92"
"Total",2020-08-16 09:00:00,"305","15318","279","13901","833","267","12","29.54"
"Total",2020-08-15 09:00:00,"305","15039","166","13901","833","155","11","29.01"
"Total",2020-08-14 09:00:00,"305","14873","103","13863","705","85","18","28.69"
"Total",2020-08-13 09:00:00,"305","14770","56","13817","648","47","9","28.49"
"Total",2020-08-12 09:00:00,"305","14714","54","13786","623","35","19","28.38"
"Total",2020-08-11 09:00:00,"305","14660","34","13729","626","23","11","28.28"
"Total",2020-08-10 09:00:00,"305","14626","28","13658","663","17","11","28.21"
"Total",2020-08-09 09:00:00,"305","14598","36","13642","651","30","6","28.16"
"Total",2020-08-08 09:00:00,"304","14562","43","13629","629","30","13","28.09"
"Total",2020-08-07 09:00:00,"303","14519","20","13543","673","9","11","28.00"
"Total",2020-08-06 09:00:00,"302","14499","43","13501","696","23","20","27.96"
"Total",2020-08-06 09:00:00,"302","14499","43","13501","696","20","23","27.96"
"Total",2020-08-05 09:00:00,"302","14456","33","13406","748","15","18","27.88"
"Total",2020-08-04 09:00:00,"301","14423","34","13352","770","13","21","27.82"
"Total",2020-08-03 09:00:00,"301","14389","23","13280","808","3","20","27.75"
"Total",2020-08-02 09:00:00,"301","14366","30","13259","806","8","22","27.71"
"Total",2020-08-01 09:00:00,"301","14336","31","13233","802","8","23","27.65"
"Total",2020-07-31 09:00:00,"301","14305","36","13183","821","14","22","27.59"
"Total",2020-07-30 09:00:00,"300","14269","18","13132","837","7","11","27.52"
"Total",2020-07-29 09:00:00,"300","14251","48","13069","882","14","34","27.49"
"Total",2020-07-28 09:00:00,"300","14203","28","13007","896","5","23","27.39"
"Total",2020-07-27 09:00:00,"299","14175","25","12905","971","9","16","27.34"
"Total",2020-07-26 09:00:00,"298","14150","58","12890","962","12","46","27.29"
"Total",2020-07-25 09:00:00,"298","14092","113","12866","928","27","86","27.18"
"Total",2020-07-24 09:00:00,"298","13979","41","12817","864","28","13","26.96"
"Total",2020-07-23 09:00:00,"297","13938","59","12758","883","39","20","26.88"
"Total",2020-07-22 09:00:00,"297","13879","63","12698","884","29","34","26.77"
"Total",2020-07-21 09:00:00,"296","13816","45","12643","877","20","25","26.56"
"Total",2020-07-20 09:00:00,"296","13771","26","12572","903","4","22","26.56"
"Total",2020-07-19 09:00:00,"295","13745","34","12556","894","21","13","26.51"
"Total",2020-07-18 09:00:00,"294","13711","39","12519","898","11","28","26.44"
"Total",2020-07-17 09:00:00,"293","13672","60","12460","919","21","39","26.37"
"Total",2020-07-16 09:00:00,"291","13612","61","12396","925","14","47","26.25"
"Total",2020-07-15 09:00:00,"289","13551","39","12348","914","11","28","26.14"
"Total",2020-07-14 09:00:00,"289","13512","33","122282","941","14","19","26.06"
"Total",2020-07-13 09:00:00,"289","13479","62","12204","986","19","43","26"
"Total",2020-07-12 09:00:00,"289","13417","44","12178","950","21","23","25.88"
"Total",2020-07-11 09:00:00,"288","13373","35","12144","941","20","15","25.79"
"Total",2020-07-10 09:00:00,"288","13338","45","12065","985","22","23","25.73"
"Total",2020-07-09 09:00:00,"287","13293","50","12019","987","28","22","25.64"
"Total",2020-07-08 09:00:00,"285","13244","63","11970","989","30","33","25.54"
"Total",2020-07-07 09:00:00,"285","13181","44","11914","982","20","24","25.42"
"Total",2020-07-06 09:00:00,"284","13137","48","11848","1005","24","24","25.34"
"Total",2020-07-05 09:00:00,"283","13091","61","11832","976","43","18","25.25"
"Total",2020-07-04 09:00:00,"283","13030","63","11811","936","36","27","25.13"
"Total",2020-07-03 09:00:00,"282","12967","63","11759","926","52","11","25.01"
"Total",2020-07-02 09:00:00,"282","12904","54","11684","938","44","10","24.89"
"Total",2020-07-01 09:00:00,"282","12850","51","11613","955","36","15","24.78"
"Total",2020-06-30 09:00:00,"282","12800","43","11537","981","23","20","24.69"
"Total",2020-06-29 09:00:00,"282","12757","42","11429","1046","30","12","24.6"
"Total",2020-06-28 09:00:00,"282","12715","62","11364","1069","40","22","24.52"
"Total",2020-06-27 09:00:00,"282","12653","51","11317","1054","31","20","24.40"
"Total",2020-06-27 09:00:00,"282","12653","51","11317","1054","31","20","24.40"
"Total",2020-06-26 09:00:00,"282","12602","39","11172","1148","27","12","24.31"
"Total",2020-06-25 09:00:00,"282","12563","28","10974","1307","23","5","24.23"
"Total",2020-06-24 09:00:00,"281","12535","51","10930","1324","31","20","24.18"
"Total",2020-06-23 09:00:00,"281","12484","46","10908","1295","16","30","24.08"
"Total",2020-06-22 09:00:00,"280","12438","17","10881","1277","11","6","23.99"
"Total",2020-06-21 09:00:00,"280","12421","48","10868","1273","40","8","23.96"
"Total",2020-06-20 09:00:00,"280","12373","67","10856","1237","36","31","23.86"
"Total",2020-06-19 09:00:00,"280","12306","49","10835","1191","32","17","23.73"
"Total",2020-06-18 09:00:00,"280","12257","59","10800","1177","51","8","23.64"
"Total",2020-06-17 09:00:00,"279","12198","43","10774","1145","31","12","23.53"
"Total",2020-06-16 09:00:00,"278","12155","34","10760","1117","21","13","23.44"
"Total",2020-06-15 09:00:00,"277","12121","37","10730","1114","24","13","23.38"
"Total",2020-06-14 09:00:00,"277","12085","34","10718","1090","31","3","23.31"
"Total",2020-06-13 09:00:00,"277","12051","49","10691","1083","44","5","23.24"
"Total",2020-06-12 09:00:00,"277","12003","56","10669","1057","43","13","23.15"
"Total",2020-06-11 09:00:00,"276","11947","45","10654","1017","40","5","23.04"
"Total",2020-06-10 09:00:00,"276","11902","50","10611","1015","43","7","22.96"
"Total",2020-06-09 09:00:00,"274","11852","38","10589","989","35","3","22.86"
"Total",2020-06-08 09:00:00,"273","11814","38","10563","978","33","5","22.79"
"Total",2020-06-07 09:00:00,"273","11776","57","10552","951","53","4","22.71"
"Total",2020-06-06 09:00:00,"273","11719","51","10531","915","43","8","22.60"
"Total",2020-06-05 09:00:00,"273","11668","39","10506","889","34","5","22.5"
"Total",2020-06-04 09:00:00,"273","11629","39","10499","857","33","6","22.43"
"Total",2020-06-03 09:00:00,"273","11590","49","10467","850","46","3","22.35"
"Total",2020-06-02 09:00:00,"272","11541","38","10446","823","36","2","22.26"
"Total",2020-06-01 09:00:00,"271","11503","35","10422","810","30","5","22.19"
"Total",2020-05-31 09:00:00,"270","11468","27","10405","793","15","12","22.12"
"Total",2020-05-30 09:00:00,"269","11441","39","10398","774","27","12","22.07"
