,area,cfmDate,route,contractCnt
0,인천,2020-08-25,-,-
1,인천,2020-08-25,-,-
2,인천,2020-08-25,-,-
3,인천,2020-08-25,-,-
4,인천,2020-08-25,-,-
5,인천,2020-08-24,-,-
6,인천,2020-08-25,-,-
7,인천,2020-08-24,-,-
8,인천,2020-08-25,-,-
9,인천,2020-08-25,-,-
10,인천,2020-08-25,타지역확진자접촉,-
11,인천,2020-08-25,타지역확진자접촉,-
12,인천,2020-08-25,@@교회,-
13,인천,2020-08-25,8.15집회참석,-
14,인천,2020-08-24,인-494접촉,-
15,인천,2020-08-24,인-494접촉,-
16,인천,2020-08-24,인-475접촉,-
17,인천,2020-08-24,인-504가족,-
18,인천,2020-08-24,타지역확진자접촉,-
19,인천,2020-08-24,타지역확진자접촉,-
20,인천,2020-08-24,타지역확진자접촉,-
21,인천,2020-08-24,-,-
22,인천,2020-08-24,인-546접촉,-
23,인천,2020-08-24,인-546접촉,-
24,인천,2020-08-24,인-546접촉,-
25,인천,2020-08-24,인-546접촉,-
26,인천,2020-08-24,인-546접촉,-
27,인천,2020-08-24,인-546가족,-
28,인천,2020-08-23,타지역확진자접촉,-
29,인천,2020-08-23,타지역확진자접촉,-
30,인천,2020-08-23,인-531547가족,-
31,인천,2020-08-23,인-496접촉실거주지:부천,-
32,인천,2020-08-23,인-531가족,-
33,인천,2020-08-23,-,-
34,인천,2020-08-23,타지역확진자접촉,-
35,인천,2020-08-23,타지역확진자접촉,-
36,인천,2020-08-23,@@교회,-
37,인천,2020-08-23,미추홀구주간보호시설,-
38,인천,2020-08-23,@@교회,-
39,인천,2020-08-23,인-495접촉@@교회,-
40,인천,2020-08-23,-,-
41,인천,2020-08-23,-,-
42,인천,2020-08-23,-,-
43,인천,2020-08-23,인-496528접촉,-
44,인천,2020-08-23,미추홀구주간보호시설,-
45,인천,2020-08-23,미추홀구주간보호시설,-
46,인천,2020-08-23,미추홀구주간보호시설,-
47,인천,2020-08-23,미추홀구주간보호시설,-
48,인천,2020-08-23,@@교회,-
49,인천,2020-08-22,@@교회,-
50,인천,2020-08-22,@@교회,-
51,인천,2020-08-22,인-496접촉,-
52,인천,2020-08-22,@@교회,-
53,인천,2020-08-22,@@교회,-
54,인천,2020-08-22,@@교회,-
55,인천,2020-08-22,@@교회,-
56,인천,2020-08-22,@@교회,-
