statedt,policy
3월2일,0
3월3일,0
3월4일,0
3월5일,0
3월6일,0
3월7일,0
3월8일,0
3월9일,0
3월10일,0
3월11일,0
3월12일,0
3월13일,0
3월14일,0
3월15일,0
3월16일,0
3월17일,0
3월18일,0
3월19일,0
3월20일,0
3월21일,0
3월22일,1.5
3월23일,1.5
3월24일,1.5
3월25일,1.5
3월26일,1.5
3월27일,1.5
3월28일,1.5
3월29일,1.5
3월30일,1.5
3월31일,1.5
4월1일,1.5
4월2일,1.5
4월3일,1.5
4월4일,1.5
4월5일,1.5
4월6일,1.5
4월7일,1.5
4월8일,1.5
4월9일,1.5
4월10일,1.5
4월11일,1.5
4월12일,1.5
4월13일,1.5
4월14일,1.5
4월15일,1.5
4월16일,1.5
4월17일,1.5
4월19일,1.5
4월20일,1
4월22일,1
4월23일,1
4월24일,1
4월25일,1
4월26일,1
4월27일,1
4월28일,1
4월29일,1
4월30일,1
5월2일,1
5월3일,1
5월6일,1
5월7일,1
5월8일,1
5월9일,1
5월10일,1
5월11일,1
5월12일,1
5월13일,1
5월14일,1
5월15일,1
5월16일,1
5월17일,1
5월18일,1
5월19일,1
5월20일,1
5월21일,1
5월22일,1
5월23일,1
5월24일,1
5월25일,1
5월26일,1
5월27일,1
5월28일,1
5월29일,1
5월30일,1
5월31일,1
6월1일,1
6월2일,1
6월3일,1
6월4일,1
6월5일,1
6월6일,1
6월7일,1
6월8일,1
6월9일,1
6월10일,1
6월11일,1
6월12일,1
6월13일,1
6월14일,1
6월15일,1
6월16일,1
6월17일,1
6월18일,1
6월19일,1
6월20일,1
6월21일,1
6월22일,1
6월23일,1
6월24일,1
6월25일,1
6월26일,1
6월27일,1
6월28일,1
6월29일,1
6월30일,1
7월1일,1
7월2일,1
7월3일,1
7월4일,1
7월5일,1
7월6일,1
7월7일,1
7월8일,1
7월9일,1
7월10일,1
7월11일,1
7월12일,1
7월13일,1
7월14일,1
7월15일,1
7월16일,1
7월17일,1
7월18일,1
7월19일,1
7월20일,1
7월21일,1
7월22일,1
7월23일,1
7월24일,1
7월25일,1
7월26일,1
7월27일,1
7월28일,1
7월29일,1
7월30일,1
7월31일,1
8월1일,1
8월2일,1
8월3일,1
8월4일,1
8월5일,1
8월6일,1
8월7일,1
8월8일,1
8월9일,1
8월10일,1
8월11일,1
8월12일,1
8월13일,1
8월14일,1
8월15일,1
8월16일,1
8월17일,1
8월18일,2
8월19일,2
8월20일,2
8월21일,2
8월22일,2
8월23일,2
8월24일,2
8월25일,2
8월26일,2
8월27일,2
8월28일,2
8월29일,2
8월30일,2.5
8월31일,2.5
9월1일,2.5
9월2일,2.5
9월3일,2.5
9월4일,2.5
9월5일,2.5
9월6일,2.5
9월7일,2.5
9월8일,2.5
9월9일,2.5
