"","statedt","examcnt","accexamcnt","accexamcompcnt"
"1",2020-09-11,29423,2119211,2089788
"2",2020-09-10,33018,2099591,2066573
"3",2020-09-09,36533,2082234,2045701
"4",2020-09-08,43370,2066078,2022708
"5",2020-09-07,47109,2051297,2004188
"6",2020-09-06,49621,2045935,1996314
"7",2020-09-05,52077,2037045,1984968
"8",2020-09-04,52266,2018906,1966640
"9",2020-09-03,55524,2000552,1945028
"10",2020-09-02,56748,1980295,1923547
"11",2020-09-01,56743,1959080,1902337
"12",2020-08-31,57876,1937689,1879813
"13",2020-08-30,58021,1924170,1866149
"14",2020-08-29,54046,1909329,1855283
"15",2020-08-28,50711,1887717,1837006
"16",2020-08-27,52041,1869579,1817538
"17",2020-08-26,52795,1849506,1796711
"18",2020-08-25,50362,1825837,1775475
"19",2020-08-24,47995,1804422,1756427
"20",2020-08-23,47564,1791186,1743622
"21",2020-08-22,42427,1775800,1733373
"22",2020-08-21,38045,1754123,1716078
"23",2020-08-20,34998,1734083,1699085
"24",2020-08-19,31022,1715064,1684042
"25",2020-08-18,25219,1697042,1671823
"26",2020-08-17,22964,1688470,1665506
"27",2020-08-16,22005,1681787,1659782
"28",2020-08-15,21618,1675296,1653678
"29",2020-08-14,20132,1665084,1644952
"30",2020-08-13,17798,1654898,1637100
"31",2020-08-12,17375,1646652,1629277
"32",2020-08-11,17489,1637844,1620355
"33",2020-08-10,16396,1628303,1611907
"34",2020-08-09,16803,1624650,1607847
"35",2020-08-08,16105,1620514,1604409
"36",2020-08-07,17068,1613652,1596584
"37",2020-08-06,18031,1606487,1588456
"38",2020-08-05,18490,1598187,1579697
"39",2020-08-04,18724,1589780,1571056
"40",2020-08-03,17401,1579757,1562356
"41",2020-08-02,17768,1576246,1558478
"42",2020-08-01,18278,1571830,1553552
"43",2020-07-31,18330,1563796,1545466
"44",2020-07-30,19018,1556215,1537197
"45",2020-07-29,19326,1547307,1527981
"46",2020-07-28,20444,1537704,1517260
"47",2020-07-27,18770,1526974,1508204
"48",2020-07-26,19214,1522926,1503712
"49",2020-07-25,19681,1518634,1498953
"50",2020-07-24,20559,1510327,1489768
"51",2020-07-23,21418,1500854,1479436
"52",2020-07-22,21751,1492071,1470320
"53",2020-07-21,23864,1482390,1458526
"54",2020-07-20,21302,1470193,1448891
"55",2020-07-19,21953,1465299,1443346
"56",2020-07-18,22923,1460204,1437281
"57",2020-07-17,23110,1451017,1427907
"58",2020-07-16,23404,1441348,1417944
"59",2020-07-15,23297,1431316,1408019
"60",2020-07-14,24289,1420616,1396327
"61",2020-07-13,21845,1408312,1386467
"62",2020-07-12,21830,1402144,1380314
"63",2020-07-11,22950,1396941,1373991
"64",2020-07-10,23527,1384890,1361363
"65",2020-07-09,23912,1371771,1347859
"66",2020-07-08,24012,1359734,1335722
"67",2020-07-07,23675,1346194,1322519
"68",2020-07-06,21292,1331796,1310504
"69",2020-07-05,21649,1326055,1304406
"70",2020-07-04,22321,1319521,1297200
"71",2020-07-03,21560,1307761,1286201
"72",2020-07-02,19782,1295962,1276180
"73",2020-07-01,19526,1285231,1265705
"74",2020-06-30,20809,1273765,1252956
"75",2020-06-29,18499,1259954,1241455
"76",2020-06-28,19005,1251695,1232690
"77",2020-06-27,19866,1243780,1223914
"78",2020-06-26,18828,1232315,1213487
"79",2020-06-25,18900,1220478,1201578
"80",2020-06-24,20245,1208597,1188352
"81",2020-06-23,22278,1196012,1173734
"82",2020-06-22,19403,1182066,1162663
"83",2020-06-21,20071,1176463,1156392
"84",2020-06-20,21470,1170901,1149431
"85",2020-06-19,21190,1158063,1136873
"86",2020-06-18,21714,1145712,1123998
"87",2020-06-17,21489,1132823,1111334
"88",2020-06-16,22632,1119767,1097135
"89",2020-06-15,20793,1105719,1084926
"90",2020-06-14,21356,1100327,1078971
"91",2020-06-13,23352,1094703,1071351
"92",2020-06-12,24244,1081486,1057242
"93",2020-06-11,25494,1066887,1041393
"94",2020-06-10,26223,1051971,1025748
"95",2020-06-09,27459,1035996,1008537
"96",2020-06-08,24374,1018213,993839
"97",2020-06-07,26481,1012769,986288
"98",2020-06-06,27954,1005305,977351
"99",2020-06-05,28766,990960,962194
"100",2020-06-04,28199,973858,945659
"101",2020-06-03,27865,956852,928987
"102",2020-06-02,28922,939851,910929
"103",2020-06-01,24058,921391,897333
"104",2020-05-31,23294,910822,887528
"105",2020-05-30,26298,902901,876603
"106",2020-05-29,24557,885120,860563
"107",2020-05-28,22370,868666,846296
"108",2020-05-27,21061,852876,831815
"109",2020-05-26,22044,839475,817431
"110",2020-05-25,19089,826437,807348
"111",2020-05-24,20333,820289,799956
"112",2020-05-23,21569,814420,792851
"113",2020-05-22,20286,802418,782132
"114",2020-05-21,18089,788684,770595
"115",2020-05-20,16351,776433,760082
"116",2020-05-19,16925,765574,748649
"117",2020-05-18,16093,753211,737118
"118",2020-05-17,17660,747653,729993
"119",2020-05-16,18343,740645,722302
"120",2020-05-15,19875,726747,706872
"121",2020-05-14,20722,711484,690762
"122",2020-05-13,19579,695920,676341
"123",2020-05-12,16330,680890,664560
"124",2020-05-11,10922,668492,657570
"125",2020-05-10,10128,663886,653758
"126",2020-05-09,9153,660030,650877
"127",2020-05-08,8867,654863,645996
"128",2020-05-07,8429,649388,640959
"129",2020-05-06,8009,643095,635086
"130",2020-05-05,8858,640237,631379
"131",2020-05-04,8176,633921,625745
"132",2020-05-03,8588,630973,622385
"133",2020-05-02,8496,627562,619066
"134",2020-05-01,8685,623069,614384
"135",2020-04-30,8634,619881,611247
"136",2020-04-29,8307,614197,605890
"137",2020-04-28,9203,608514,599311
"138",2020-04-27,8895,601660,592765
"139",2020-04-26,8999,598285,589286
"140",2020-04-25,9259,595161,585902
"141",2020-04-24,9600,589520,579920
"142",2020-04-23,10139,583971,573832
"143",2020-04-22,12121,577959,565838
"144",2020-04-21,12721,571014,558293
"145",2020-04-20,11981,563035,551054
"146",2020-04-19,12243,559109,546866
"147",2020-04-18,13550,554834,541284
"148",2020-04-17,14186,546463,532277
"149",2020-04-16,14268,538775,524507
"150",2020-04-15,15026,534552,519526
"151",2020-04-14,14651,527438,512787
"152",2020-04-13,13391,518743,505352
"153",2020-04-12,13788,514621,500833
"154",2020-04-11,14070,510479,496409
"155",2020-04-10,15298,503051,487753
"156",2020-04-09,15509,494711,479202
"157",2020-04-08,17858,486003,468145
"158",2020-04-07,20650,477304,456654
"159",2020-04-06,19295,466804,447509
"160",2020-04-05,19571,461233,441662
"161",2020-04-04,20144,455032,434888
"162",2020-04-03,18908,443273,424365
"163",2020-04-02,17885,431743,413858
"164",2020-04-01,16585,421547,404962
"165",2020-03-31,16892,410564,393672
"166",2020-03-30,13531,395194,381663
"167",2020-03-29,15028,394141,379113
"168",2020-03-28,16564,387925,371361
"169",2020-03-27,15219,376961,361742
"170",2020-03-26,14369,364942,350573
"171",2020-03-25,14278,357896,343618
"172",2020-03-24,15440,348582,333142
"173",2020-03-23,13628,338036,324408
"174",2020-03-22,14540,331780,317240
"175",2020-03-21,15704,327509,311805
"176",2020-03-20,15525,316664,301139
"177",2020-03-19,15904,307024,291120
"178",2020-03-18,16346,295647,279301
"179",2020-03-17,17291,286716,269425
"180",2020-03-16,14971,274504,259533
"181",2020-03-15,16272,268212,251940
"182",2020-03-14,17634,261335,243701
"183",2020-03-13,17940,248647,230707
"184",2020-03-12,17727,234998,217271
"185",2020-03-11,18540,222395,203855
"186",2020-03-10,18452,210144,191692
"187",2020-03-09,17458,196618,179160
"188",2020-03-08,19376,188518,169142
"189",2020-03-07,19620,178189,158569
"190",2020-03-06,21832,164740,142908
"191",2020-03-05,21810,146541,124731
"192",2020-03-04,28414,136707,108293
"193",2020-03-03,35555,125851,90296
"194",2020-03-02,33799,109591,75792
"195",2020-03-01,65782,NA,NA
"196",2020-02-29,64336,NA,NA
"197",2020-02-28,54988,NA,NA
"198",2020-02-27,46665,NA,NA
"199",2020-02-26,37450,NA,NA
"200",2020-02-25,27153,NA,NA
"201",2020-02-24,20356,NA,NA
"202",2020-02-23,14096,NA,NA
"203",2020-02-22,11518,NA,NA
"204",2020-02-21,5887,NA,NA
"205",2020-02-20,3493,NA,NA
"206",2020-02-19,2179,NA,NA
"207",2020-02-18,1775,NA,NA
"208",2020-02-17,1116,NA,NA
"209",2020-02-16,1062,NA,NA
"210",2020-02-15,1196,NA,NA
"211",2020-02-14,1227,NA,NA
"212",2020-02-13,1232,NA,NA
"213",2020-02-12,1777,NA,NA
"214",2020-02-11,1627,NA,NA
"215",2020-02-10,1340,NA,NA
"216",2020-02-09,1848,NA,NA
"217",2020-02-08,1559,NA,NA
"218",2020-02-07,591,NA,NA
"219",2020-02-06,169,NA,NA
"220",2020-02-05,169,NA,NA
"221",2020-02-04,0,NA,NA
"222",2020-02-03,0,NA,NA
"223",2020-02-02,2,NA,NA
"224",2020-01-01,1,NA,NA
