"연월","역명/열차종별","합계_승차수(명)","합계_하차수(명)","KTX_승차수(명)","KTX_하차수(명)","새마을_승차수(명)","새마을_하차수(명)","무궁화_승차수(명)","무궁화_하차수(명))","통근열차_승차수(명)","통근열차_하차수(명)","누리로_승차수(명)","누리로_하차수(명)","KTX산천_승차수(명)","KTX산천_하차수(명)","ITX새마을_승차수(명)","ITX새마을_하차수(명)","ITX청춘열차_승차수(명)","ITX청춘열차_하차수(명)","KTX호남_승차수(명)","KTX호남_하차수(명)"
"201901","합 계","10454758","10454758","3643771","3643771","186392","186392","3839360","3839360","28794","28794","155369","155369","1085331","1085331","631467","631467","400503","400503","444724","444724"
"201901","송도교","45","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","서울","1321513","1384031","846516","887760","3717","3672","172352","167522","0","0","11795","14878","169654","164205","36123","36272","0","0","81356","109722"
"201901","용산","621434","628198","217068","198264","18380","19326","117355","112892","0","0","4285","6824","120900","142655","23844","20415","112416","117078","7186","10744"
"201901","영등포","334158","332945","18768","20024","17461","19371","234893","229466","0","0","15002","17031","0","0","48034","47053","0","0","0","0"
"201901","안양","16545","13161","0","0","0","0","13945","10647","0","0","2600","2514","0","0","0","0","0","0","0","0"
"201901","수원","455670","469296","51929","56387","21082","18201","289507","292040","0","0","18642","17968","0","0","74510","84700","0","0","0","0"
"201901","오산","7611","7529","0","0","0","0","4608","4813","0","0","3003","2716","0","0","0","0","0","0","0","0"
"201901","서정리","1875","2053","0","0","0","0","904","1081","0","0","971","972","0","0","0","0","0","0","0","0"
"201901","평택","179689","182781","0","0","5402","3232","144856","148248","0","0","10909","9909","0","0","18522","21392","0","0","0","0"
"201901","성환","1439","2073","0","0","0","0","1045","1496","0","0","394","577","0","0","0","0","0","0","0","0"
"201901","천안","194980","199465","0","0","13509","11755","139700","144604","0","0","9687","9529","0","0","32084","33577","0","0","0","0"
"201901","전의","3158","3434","0","0","0","0","2546","3047","0","0","612","387","0","0","0","0","0","0","0","0"
"201901","조치원","108811","109323","0","0","0","0","91487","92405","0","0","5917","5635","0","0","11407","11283","0","0","0","0"
"201901","부강","3407","3474","0","0","0","0","2658","3257","0","0","749","217","0","0","0","0","0","0","0","0"
"201901","신탄진","50338","49030","0","0","0","0","47858","45977","0","0","2480","3053","0","0","0","0","0","0","0","0"
"201901","대전","583874","585081","297305","305373","304","304","172474","174443","0","0","4538","4438","60575","54578","42994","40636","0","0","5684","5309"
"201901","옥천","14606","14302","0","0","0","0","14606","14302","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","이원","971","702","0","0","0","0","971","702","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","지탄","48","12","0","0","0","0","48","12","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","심천","663","593","0","0","0","0","663","593","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","각계","24","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","영동","40334","40195","0","0","309","309","35144","35163","0","0","0","0","0","0","4881","4723","0","0","0","0"
"201901","황간","2908","2561","0","0","0","0","2908","2561","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","추풍령","1201","1132","0","0","0","0","1201","1132","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","김천","78592","79331","0","0","0","0","61903","59435","0","0","0","0","0","0","16689","19896","0","0","0","0"
"201901","구미","180982","184557","0","0","294","294","128321","130728","0","0","0","0","0","0","52367","53535","0","0","0","0"
"201901","사곡","1165","1328","0","0","0","0","1165","1328","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","약목","2130","2840","0","0","0","0","2130","2840","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","왜관","57656","58012","0","0","0","0","55951","55779","0","0","0","0","0","0","1705","2233","0","0","0","0"
"201901","신동","174","156","0","0","0","0","174","156","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","대구","196277","194859","0","0","60","60","157719","157088","0","0","0","0","0","0","38498","37711","0","0","0","0"
"201901","동대구","719860","717867","382529","385167","28","28","207655","207134","0","0","0","0","84907","80258","37285","38574","0","0","7456","6706"
"201901","경산","77446","74687","2803","2952","0","0","66809","66294","0","0","0","0","1369","862","6465","4579","0","0","0","0"
"201901","남성현","352","300","0","0","0","0","352","300","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","청도","31934","32052","0","0","0","0","30446","30441","0","0","0","0","0","0","1488","1611","0","0","0","0"
"201901","상동","2739","2255","0","0","0","0","2739","2255","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","밀양","81602","82520","13711","15584","0","0","51072","52098","0","0","0","0","6406","4091","10413","10747","0","0","0","0"
"201901","삼랑진","11312","11544","0","0","54","119","11258","11425","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","원동","2155","2537","0","0","0","0","2155","2537","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","물금","30460","28665","0","0","119","111","25769","24196","0","0","0","0","0","0","4572","4358","0","0","0","0"
"201901","화명","4707","3716","0","0","0","0","4707","3716","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","구포","116909","118385","26788","40213","115","94","58905","61590","0","0","0","0","12752","197","18349","16291","0","0","0","0"
"201901","사상","1478","2191","0","0","0","0","1478","2191","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","부산","620146","601734","448222","418395","1678","1851","118777","124658","0","0","0","0","15275","22654","26015","22440","0","0","10179","11736"
"201901","망우","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","구리","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","도농","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","덕소","1280","1369","0","0","0","0","1280","1369","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","양평","37360","35495","0","0","0","0","25791","25442","0","0","0","0","0","0","271","825","0","0","11298","9228"
"201901","용문","8929","8375","0","0","0","0","8241","7999","0","0","0","0","0","0","688","376","0","0","0","0"
"201901","지평","1114","970","0","0","0","0","1114","970","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","석불","37","22","0","0","0","0","37","22","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","일신","315","244","0","0","0","0","315","244","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","매곡","373","264","0","0","0","0","373","264","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","양동","4981","5211","0","0","0","0","4981","5211","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","삼산","106","89","0","0","0","0","106","89","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","동화","1100","992","0","0","0","0","1100","992","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","만종","25910","23466","0","0","0","0","1428","681","0","0","0","0","0","0","0","0","0","0","24482","22785"
"201901","원주","48367","47149","0","0","290","294","45270","44279","0","0","0","0","0","0","2807","2576","0","0","0","0"
"201901","반곡","1851","1841","0","0","0","0","1851","1841","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","신림","435","365","0","0","0","0","435","365","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","제천","54289","53566","0","0","1024","800","45223","46204","0","0","6629","4980","0","0","1413","1582","0","0","0","0"
"201901","단양","6112","5906","0","0","130","148","5436","5028","0","0","0","0","0","0","546","730","0","0","0","0"
"201901","희방사","97","199","0","0","0","0","97","199","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","풍기","5801","5721","0","0","62","63","5234","4933","0","0","0","0","0","0","505","725","0","0","0","0"
"201901","영주","21850","21442","0","0","1019","270","19797","19756","0","0","0","0","0","0","1034","1416","0","0","0","0"
"201901","안동","18847","18648","0","0","0","0","18847","18648","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","의성","3712","3569","0","0","0","0","3712","3569","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","탑리","641","607","0","0","0","0","641","607","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","화본","537","461","0","0","0","0","537","461","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","신녕","67","84","0","0","0","0","67","84","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","북영천","310","230","0","0","0","0","310","230","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","영천","31365","31084","0","0","0","277","31365","30807","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","건천","300","291","0","0","0","0","300","291","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","서경주","6677","6136","0","0","0","80","6677","6056","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","서대전","143436","139523","14704","12155","1059","883","72875","74572","0","0","8075","8708","18499","14696","27621","25866","0","0","603","2643"
"201901","계룡","23788","23487","3367","3552","0","0","8552","9914","0","0","1726","1462","6452","4522","3674","3412","0","0","17","625"
"201901","연산","1281","1214","0","0","0","0","1270","1083","0","0","11","131","0","0","0","0","0","0","0","0"
"201901","논산","46527","47370","2165","2373","0","0","26769","27042","0","0","3853","3336","4761","4216","8970","10012","0","0","9","391"
"201901","강경","8600","8844","0","0","0","0","6547","6684","0","0","831","702","0","0","1222","1458","0","0","0","0"
"201901","함열","3861","3748","0","0","0","0","3555","3450","0","0","306","298","0","0","0","0","0","0","0","0"
"201901","익산","185040","181993","61759","57114","4792","6185","59814","57614","0","0","4850","5149","38299","39440","13271","14313","0","0","2255","2178"
"201901","김제","15136","15568","0","0","0","0","8355","8868","0","0","2360","1872","0","0","4421","4828","0","0","0","0"
"201901","신태인","3638","3641","0","0","0","0","2403","2732","0","0","703","456","0","0","532","453","0","0","0","0"
"201901","정읍","38842","38468","11256","11371","0","0","9714","11298","0","0","3466","1928","7627","8032","5427","5266","0","0","1352","573"
"201901","백양사","1693","1718","0","0","0","0","1240","1409","0","0","453","309","0","0","0","0","0","0","0","0"
"201901","장성","8939","8389","0","0","0","0","4549","4840","0","0","1167","959","0","0","3223","2590","0","0","0","0"
"201901","광주송정","190965","193412","102175","108001","0","0","23035","24332","0","0","0","0","56380","54960","3030","3086","0","0","6345","3033"
"201901","나주","31085","31299","12640","14351","0","0","4516","4731","0","0","0","0","11527","11181","1118","879","0","0","1284","157"
"201901","다시","151","165","0","0","0","0","151","165","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","함평","2878","2932","0","0","0","0","2307","2351","0","0","0","0","0","0","571","581","0","0","0","0"
"201901","무안","333","361","0","0","0","0","333","361","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","몽탄","462","418","0","0","0","0","462","418","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","일로","1336","1283","0","0","0","0","1090","1076","0","0","0","0","0","0","246","207","0","0","0","0"
