"연월","역명/열차종별","합계_승차수(명)","합계_하차수(명)","KTX_승차수(명)","KTX_하차수(명)","새마을_승차수(명)","새마을_하차수(명)","무궁화_승차수(명)","무궁화_하차수(명))","통근열차_승차수(명)","통근열차_하차수(명)","누리로_승차수(명)","누리로_하차수(명)","KTX산천_승차수(명)","KTX산천_하차수(명)","ITX새마을_승차수(명)","ITX새마을_하차수(명)","ITX청춘열차_승차수(명)","ITX청춘열차_하차수(명)","KTX호남_승차수(명)","KTX호남_하차수(명)"
"202001","합 계","11293057","11293062","4159345","4159345","205923","205923","3945570","3945574","10381","10381","132105","132105","1197989","1197990","708846","708846","403354","403354","492830","492830"
"202001","송도교","22","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","서울","1462992","1519593","934779","985315","3050","3782","166781","168826","0","0","9490","11119","181868","174193","42291","42862","0","0","124733","133496"
"202001","용산","698112","707592","268548","250567","20588","21104","124151","125289","0","0","4981","7272","132591","155724","28739","25732","115476","120299","3038","1605"
"202001","영등포","336361","342274","21134","21530","19893","21793","229630","232827","0","0","13418","15044","0","0","52286","51080","0","0","0","0"
"202001","안양","15832","12397","0","0","0","0","14307","10766","0","0","1525","1631","0","0","0","0","0","0","0","0"
"202001","수원","479130","487388","61733","65380","24168","21910","291492","289072","0","0","16912","16630","0","0","84825","94396","0","0","0","0"
"202001","오산","6417","6441","0","0","0","0","4664","4762","0","0","1753","1679","0","0","0","0","0","0","0","0"
"202001","서정리","1630","1598","0","0","0","0","1108","1259","0","0","522","339","0","0","0","0","0","0","0","0"
"202001","평택","186326","187773","0","0","5861","3541","150736","152665","0","0","9680","8393","0","0","20049","23174","0","0","0","0"
"202001","성환","1274","2021","0","0","0","0","905","1379","0","0","369","642","0","0","0","0","0","0","0","0"
"202001","천안","191558","192894","0","0","14064","12814","135656","138109","0","0","8491","8384","0","0","33347","33587","0","0","0","0"
"202001","전의","3316","3511","0","0","0","0","2667","3010","0","0","649","501","0","0","0","0","0","0","0","0"
"202001","조치원","111237","111508","0","0","68","37","94597","95336","0","0","5037","4183","0","0","11535","11952","0","0","0","0"
"202001","부강","3670","3516","0","0","0","0","2971","3349","0","0","699","167","0","0","0","0","0","0","0","0"
"202001","신탄진","52805","50807","0","0","0","0","50845","48592","0","0","1960","2215","0","0","0","0","0","0","0","0"
"202001","대전","610514","612299","314761","322258","932","1017","175634","177190","0","0","2006","1876","63039","57821","46340","44589","0","0","7802","7548"
"202001","옥천","16726","15706","0","0","0","0","16726","15706","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","이원","1088","725","0","0","0","0","1088","725","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","지탄","32","20","0","0","0","0","32","20","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","심천","711","630","0","0","0","0","711","630","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","각계","17","3","0","0","0","0","17","3","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","영동","42880","42863","0","0","146","203","37098","37649","0","0","0","0","0","0","5636","5011","0","0","0","0"
"202001","황간","3196","2929","0","0","0","0","3196","2929","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","추풍령","1397","1221","0","0","0","0","1397","1221","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","김천","80955","82063","0","0","465","347","63126","59654","0","0","0","0","0","0","17364","22062","0","0","0","0"
"202001","구미","184781","186292","0","0","1203","1139","129444","126383","0","0","0","0","0","0","54134","58770","0","0","0","0"
"202001","사곡","1227","1345","0","0","0","0","1227","1345","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","약목","2340","3310","0","0","0","0","2340","3310","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","왜관","59124","57975","0","0","0","0","56988","55461","0","0","0","0","0","0","2136","2514","0","0","0","0"
"202001","신동","299","214","0","0","0","0","299","214","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","대구","191082","190238","0","0","874","761","149471","150949","0","0","0","0","0","0","40737","38528","0","0","0","0"
"202001","동대구","802552","798819","436678","437011","1516","970","217313","218460","0","0","0","0","93447","89148","42722","43239","0","0","10876","9991"
"202001","경산","82666","79097","2958","2925","263","223","70286","69941","0","0","0","0","1507","944","7652","5064","0","0","0","0"
"202001","남성현","349","341","0","0","0","0","349","341","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","청도","34155","34754","0","0","0","0","31297","32721","0","0","0","0","0","0","2858","2033","0","0","0","0"
"202001","상동","3025","2530","0","0","0","0","3025","2530","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","밀양","88062","89645","16786","18370","613","453","50245","52485","0","0","0","0","7444","4856","12506","12658","0","0","468","823"
"202001","삼랑진","11738","12040","0","0","84","117","11654","11923","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","원동","2077","2324","0","0","0","0","2077","2324","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","물금","33306","31225","0","0","435","366","27668","26218","0","0","0","0","0","0","5203","4641","0","0","0","0"
"202001","화명","5332","4234","0","0","0","0","5332","4234","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","구포","127059","129573","31466","47149","940","1103","59542","62017","0","0","0","0","13799","85","21312","19219","0","0","0","0"
"202001","사상","2041","2498","0","0","0","0","2041","2498","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","부산","663442","646078","491627","465775","3361","3469","113885","117374","0","0","0","0","15828","24062","29448","25463","0","0","9293","9935"
"202001","망우","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","도농","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","덕소","1465","1403","0","0","0","0","1465","1403","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","양평","38853","36661","0","0","0","0","26805","25114","0","0","0","0","0","0","326","842","0","0","11722","10705"
"202001","용문","9922","9700","0","0","0","0","9176","9263","0","0","0","0","0","0","746","437","0","0","0","0"
"202001","지평","1165","1030","0","0","0","0","1165","1030","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","석불","73","52","0","0","0","0","73","52","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","일신","331","294","0","0","0","0","331","294","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","매곡","420","321","0","0","0","0","420","321","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","양동","5075","5456","0","0","0","0","5075","5456","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","삼산","164","126","0","0","0","0","164","126","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","동화","1036","936","0","0","0","0","1036","936","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","만종","33626","31152","0","0","0","0","2323","1237","0","0","0","0","0","0","0","0","0","0","31303","29915"
"202001","원주","49385","48101","0","0","478","377","45707","44765","0","0","0","0","0","0","3200","2959","0","0","0","0"
