"","month","station","ktx_alight","sm_alight","mg_alight","nr_alight","ktx_sc_alight","ktx_hn_alight","itx_sm_alight","itx_youth_alight","total"
"1",201701,"안양",0,0,10145,1805,0,0,0,0,11950
"2",201701,"수원",51885,20908,296686,14225,0,5272,87705,0,476681
"3",201701,"오산",0,0,5308,1097,0,0,0,0,6405
"4",201701,"서정리",0,0,1381,0,0,0,0,0,1381
"5",201701,"평택",0,4486,145010,6746,0,0,18120,0,174362
"6",201701,"도농",0,2,0,0,0,0,0,0,2
"7",201701,"덕소",0,0,1414,0,0,0,0,0,1414
"8",201701,"양평",0,0,25215,0,0,0,1208,0,26423
"9",201701,"용문",0,0,7350,0,0,0,0,0,7350
"10",201701,"지평",0,0,840,0,0,0,0,0,840
"11",201701,"석불",0,0,50,0,0,0,0,0,50
"12",201701,"일신",0,0,335,0,0,0,0,0,335
"13",201701,"매곡",0,0,269,0,0,0,0,0,269
"14",201701,"양동",0,0,5904,0,0,0,0,0,5904
"15",201701,"삼산",0,0,67,0,0,0,0,0,67
"16",201701,"행신",32123,0,0,0,18406,579,0,0,51108
"17",201701,"능곡",0,31,0,0,0,0,0,0,31
"18",201701,"문산",0,56,0,0,0,0,0,0,56
"19",201701,"운천",0,0,0,0,0,0,0,0,0
"20",201701,"임진강",0,20,0,0,0,0,0,0,20
"21",201701,"도라산",0,672,0,0,0,0,0,0,672
"22",201701,"의정부",0,322,0,0,0,0,0,0,322
"23",201701,"동두천",0,406,0,0,0,0,0,0,406
"24",201701,"소요산",0,0,0,0,0,0,0,0,0
"25",201701,"초성리",0,0,0,0,0,0,0,0,0
"26",201701,"한탄강",0,8,0,0,0,0,0,0,8
"27",201701,"전곡",0,0,0,0,0,0,0,0,0
"28",201701,"연천",0,7,0,0,0,0,0,0,7
"29",201701,"신망리",0,0,0,0,0,0,0,0,0
"30",201701,"대광리",0,0,0,0,0,0,0,0,0
"31",201701,"신탄리",0,66,0,0,0,0,0,0,66
"32",201701,"퇴계원",0,0,0,0,0,0,0,880,880
"33",201701,"평내호평",0,0,0,0,0,0,0,33127,33127
"34",201701,"마석",0,0,0,0,0,0,0,1523,1523
"35",201701,"가평",0,0,0,0,0,0,0,37946,37946
"36",201701,"광명",250940,0,0,0,85809,1937,0,0,338686
"37",201702,"안양",0,0,9641,1618,0,0,0,0,11259
"38",201702,"수원",44512,17950,269173,12332,0,0,79925,0,423892
"39",201702,"오산",0,0,5117,683,0,0,0,0,5800
"40",201702,"서정리",0,0,1524,23,0,0,0,0,1547
"41",201702,"평택",0,3045,132664,6142,0,0,17269,0,159120
"42",201702,"덕소",0,0,1367,0,0,0,0,0,1367
"43",201702,"양평",0,0,25243,0,0,0,815,0,26058
"44",201702,"용문",0,0,6945,0,0,0,0,0,6945
"45",201702,"지평",0,0,911,0,0,0,0,0,911
"46",201702,"석불",0,0,41,0,0,0,0,0,41
"47",201702,"일신",0,0,314,0,0,0,0,0,314
"48",201702,"매곡",0,0,270,0,0,0,0,0,270
"49",201702,"양동",0,0,5299,0,0,0,0,0,5299
"50",201702,"삼산",0,0,79,0,0,0,0,0,79
"51",201702,"행신",26652,0,0,0,15438,0,0,0,42090
"52",201702,"능곡",0,56,0,0,0,0,0,0,56
"53",201702,"문산",0,106,0,0,0,0,0,0,106
"54",201702,"운천",0,0,0,0,0,0,0,0,0
"55",201702,"임진강",0,41,0,0,0,0,0,0,41
"56",201702,"도라산",0,1192,0,0,0,0,0,0,1192
"57",201702,"의정부",0,212,0,0,0,0,0,0,212
"58",201702,"동두천",0,8,0,0,0,0,0,0,8
"59",201702,"소요산",0,0,0,0,0,0,0,0,0
"60",201702,"초성리",0,0,0,0,0,0,0,0,0
"61",201702,"한탄강",0,6,0,0,0,0,0,0,6
"62",201702,"전곡",0,0,0,0,0,0,0,0,0
"63",201702,"연천",0,17,0,0,0,0,0,0,17
"64",201702,"신망리",0,0,0,0,0,0,0,0,0
"65",201702,"대광리",0,0,0,0,0,0,0,0,0
"66",201702,"신탄리",0,158,0,0,0,0,0,0,158
"67",201702,"퇴계원",0,0,0,0,0,0,0,834,834
"68",201702,"평내호평",0,0,0,0,0,0,0,28456,28456
"69",201702,"마석",0,0,0,0,0,0,0,1540,1540
"70",201702,"가평",0,0,0,0,0,0,0,36011,36011
"71",201702,"광명",210812,0,0,0,76207,2866,0,0,289885
"72",201703,"안양",0,0,9779,3003,0,0,0,0,12782
"73",201703,"수원",40281,18629,298707,13722,0,0,81573,0,452912
"74",201703,"오산",0,0,5421,2519,0,0,0,0,7940
"75",201703,"서정리",0,0,956,1177,0,0,0,0,2133
"76",201703,"평택",0,3246,145068,6835,0,0,18568,0,173717
"77",201703,"도농",0,0,0,0,0,0,0,0,0
"78",201703,"덕소",0,275,1748,0,0,0,0,0,2023
"79",201703,"양평",0,0,26615,0,0,0,825,0,27440
"80",201703,"용문",0,0,7270,0,0,0,0,0,7270
"81",201703,"지평",0,0,881,0,0,0,0,0,881
"82",201703,"석불",0,0,61,0,0,0,0,0,61
"83",201703,"일신",0,0,376,0,0,0,0,0,376
"84",201703,"매곡",0,0,367,0,0,0,0,0,367
"85",201703,"양동",0,0,5717,0,0,0,0,0,5717
"86",201703,"삼산",0,0,115,0,0,0,0,0,115
"87",201703,"행신",27372,0,0,0,15717,1279,0,0,44368
"88",201703,"능곡",0,470,0,0,0,0,0,0,470
"89",201703,"문산",0,57,0,0,0,0,0,0,57
"90",201703,"운천",0,0,0,0,0,0,0,0,0
"91",201703,"임진강",0,49,0,0,0,0,0,0,49
"92",201703,"도라산",0,890,0,0,0,0,0,0,890
"93",201703,"의정부",0,366,0,0,0,0,0,0,366
"94",201703,"동두천",0,10,0,0,0,0,0,0,10
"95",201703,"소요산",0,0,0,0,0,0,0,0,0
"96",201703,"초성리",0,0,0,0,0,0,0,0,0
"97",201703,"한탄강",0,8,0,0,0,0,0,0,8
"98",201703,"전곡",0,0,0,0,0,0,0,0,0
"99",201703,"연천",0,11,0,0,0,0,0,0,11
"100",201703,"신망리",0,0,0,0,0,0,0,0,0
"101",201703,"대광리",0,0,0,0,0,0,0,0,0
"102",201703,"신탄리",0,215,0,0,0,0,0,0,215
"103",201703,"퇴계원",0,0,0,0,0,0,0,992,992
"104",201703,"평내호평",0,336,0,0,0,0,0,31447,31783
"105",201703,"마석",0,0,0,0,0,0,0,1750,1750
"106",201703,"가평",0,0,454,0,0,0,0,32021,32475
"107",201703,"광명",218810,0,0,0,80943,6337,0,0,306090
"108",201704,"안양",0,0,9689,3041,0,0,0,0,12730
"109",201704,"수원",40610,19500,300846,13836,0,6263,82798,0,463853
"110",201704,"오산",0,0,4941,2706,0,0,0,0,7647
"111",201704,"서정리",0,0,934,1147,0,0,0,0,2081
"112",201704,"평택",0,3219,147626,6970,0,0,18597,0,176412
"113",201704,"도농",0,0,0,0,0,0,0,0,0
"114",201704,"덕소",0,0,1700,0,0,0,0,0,1700
"115",201704,"양수",0,0,0,0,0,0,0,0,0
"116",201704,"양평",0,336,28649,0,0,0,999,0,29984
"117",201704,"용문",0,0,8016,0,0,0,0,0,8016
"118",201704,"지평",0,0,981,0,0,0,0,0,981
"119",201704,"석불",0,0,72,0,0,0,0,0,72
"120",201704,"일신",0,0,568,0,0,0,0,0,568
"121",201704,"매곡",0,0,602,0,0,0,0,0,602
"122",201704,"양동",0,336,6670,0,0,0,0,0,7006
"123",201704,"삼산",0,0,180,0,0,0,0,0,180
"124",201704,"중동",0,0,0,0,0,0,0,0,0
"125",201704,"행신",28994,0,0,0,16208,2888,0,0,48090
"126",201704,"능곡",0,36,0,0,0,0,0,0,36
"127",201704,"문산",0,125,0,0,0,0,0,0,125
"128",201704,"운천",0,0,0,0,0,0,0,0,0
"129",201704,"임진강",0,68,0,0,0,0,0,0,68
"130",201704,"도라산",0,1439,0,0,0,0,0,0,1439
"131",201704,"의정부",0,671,0,0,0,0,0,0,671
"132",201704,"덕정",0,0,0,0,0,0,0,0,0
"133",201704,"동두천중앙",0,0,0,0,0,0,0,0,0
"134",201704,"동두천",0,3,0,0,0,0,0,0,3
"135",201704,"소요산",0,0,0,0,0,0,0,0,0
"136",201704,"초성리",0,0,0,0,0,0,0,0,0
"137",201704,"한탄강",0,5,0,0,0,0,0,0,5
"138",201704,"전곡",0,0,0,0,0,0,0,0,0
"139",201704,"연천",0,11,0,0,0,0,0,0,11
"140",201704,"신망리",0,0,0,0,0,0,0,0,0
"141",201704,"대광리",0,0,0,0,0,0,0,0,0
"142",201704,"신탄리",0,609,0,0,0,0,0,0,609
"143",201704,"퇴계원",0,0,0,0,0,0,0,898,898
"144",201704,"평내호평",0,0,0,0,0,0,0,30831,30831
"145",201704,"마석",0,0,0,0,0,0,0,1618,1618
"146",201704,"가평",0,0,389,0,0,0,0,42597,42986
"147",201704,"광명",232005,0,0,0,79392,14453,0,0,325850
"148",201705,"안양",0,0,10611,3320,0,0,0,0,13931
"149",201705,"수원",45091,20480,314850,16436,0,7004,87244,0,491105
"150",201705,"오산",0,0,4847,3471,0,0,0,0,8318
"151",201705,"서정리",0,0,962,1106,0,0,0,0,2068
"152",201705,"평택",0,3351,153528,7887,0,0,18949,0,183715
"153",201705,"덕소",0,0,1888,0,0,0,0,0,1888
"154",201705,"양평",0,0,30887,0,0,0,1307,0,32194
"155",201705,"용문",0,0,8885,0,0,0,0,0,8885
"156",201705,"지평",0,0,1094,0,0,0,0,0,1094
"157",201705,"석불",0,0,73,0,0,0,0,0,73
"158",201705,"일신",0,0,550,0,0,0,0,0,550
"159",201705,"매곡",0,0,587,0,0,0,0,0,587
"160",201705,"양동",0,0,7214,0,0,0,0,0,7214
"161",201705,"삼산",0,0,162,0,0,0,0,0,162
"162",201705,"행신",33711,0,0,0,18029,3223,0,0,54963
"163",201705,"능곡",0,748,0,0,0,0,0,0,748
"164",201705,"문산",0,139,0,0,0,0,0,0,139
"165",201705,"운천",0,0,0,0,0,0,0,0,0
"166",201705,"임진강",0,87,0,0,0,0,0,0,87
"167",201705,"도라산",0,1947,0,0,0,0,0,0,1947
"168",201705,"의정부",0,340,0,0,0,0,0,0,340
"169",201705,"동두천",0,19,0,0,0,0,0,0,19
"170",201705,"소요산",0,0,0,0,0,0,0,0,0
"171",201705,"초성리",0,0,0,0,0,0,0,0,0
"172",201705,"한탄강",0,14,0,0,0,0,0,0,14
"173",201705,"전곡",0,0,0,0,0,0,0,0,0
"174",201705,"연천",0,53,0,0,0,0,0,0,53
