cfm_date,symptom,asymptom,research,cfm_cnt,cum_cfm_cnt,exam_cnt,policy,create_date
2020-02-01,1,0,0,1,1,119,0,"2020-09-23 12:25:06"
2020-02-02,1,0,0,1,2,55,0,"2020-09-23 12:25:06"
2020-02-05,1,0,0,1,3,105,0,"2020-09-23 12:25:06"
2020-02-09,1,0,0,1,4,498,0,"2020-09-23 12:25:06"
2020-02-10,1,0,0,1,5,512,0,"2020-09-23 12:25:06"
2020-02-18,0,1,0,1,6,1053,0,"2020-09-23 12:25:06"
2020-02-20,1,0,0,1,7,1976,0,"2020-09-23 12:25:06"
2020-02-21,2,0,0,2,9,3098,0,"2020-09-23 12:25:06"
2020-02-22,3,2,2,7,16,4957,0,"2020-09-23 12:25:06"
2020-02-23,10,0,0,10,26,4424,0,"2020-09-23 12:25:06"
2020-02-24,8,1,0,9,35,6346,0,"2020-09-23 12:25:06"
2020-02-25,6,0,0,6,41,7404,0,"2020-09-23 12:25:06"
2020-02-26,8,1,0,9,50,12965,0,"2020-09-23 12:25:06"
2020-02-27,10,3,0,13,63,12594,0,"2020-09-23 12:25:06"
2020-02-28,6,2,0,8,71,13944,0,"2020-09-23 12:25:06"
2020-02-29,9,2,0,11,82,12075,0,"2020-09-23 12:25:06"
2020-03-01,2,0,0,2,84,4280,0,"2020-09-23 12:25:06"
2020-03-02,2,0,0,2,86,10194,0,"2020-09-23 12:25:06"
2020-03-03,8,0,0,8,94,15660,0,"2020-09-23 12:25:06"
2020-03-04,10,0,0,10,104,10340,0,"2020-09-23 12:25:06"
2020-03-05,10,1,0,11,115,9396,0,"2020-09-23 12:25:06"
2020-03-06,11,1,1,13,128,17681,0,"2020-09-23 12:25:06"
2020-03-07,5,1,0,6,134,12966,0,"2020-09-23 12:25:06"
2020-03-08,6,4,1,11,145,9962,0,"2020-09-23 12:25:06"
2020-03-09,9,3,0,12,157,7852,0,"2020-09-23 12:25:06"
2020-03-10,10,0,0,10,167,13395,0,"2020-09-23 12:25:06"
2020-03-11,4,0,0,4,171,12009,0,"2020-09-23 12:25:06"
2020-03-12,2,3,0,5,176,12489,0,"2020-09-23 12:25:06"
2020-03-13,10,3,0,13,189,13539,0,"2020-09-23 12:25:06"
2020-03-14,7,3,0,10,199,12581,0,"2020-09-23 12:25:06"
2020-03-15,11,8,0,19,218,6801,0,"2020-09-23 12:25:06"
2020-03-16,20,12,0,32,250,6218,0,"2020-09-23 12:25:06"
2020-03-17,9,3,0,12,262,12128,0,"2020-09-23 12:25:06"
2020-03-18,14,2,0,16,278,8838,0,"2020-09-23 12:25:06"
2020-03-19,8,1,0,9,287,11225,0,"2020-09-23 12:25:06"
2020-03-20,5,2,0,7,294,9553,0,"2020-09-23 12:25:06"
2020-03-21,9,6,0,15,309,10698,0,"2020-09-23 12:25:06"
