clearcnt,examcnt,resutlnegcnt,accexamcnt,decidecnt
31,33799,71580,109591,4212
34,35555,85484,125851,4812
41,28414,102965,136707,5328
88,21810,118965,146541,5766
108,21832,136624,164740,6284
118,19620,151802,178189,6767
130,19376,162008,188518,7134
166,17458,171778,196618,7382
247,18452,184179,210144,7513
288,18540,196100,222395,7755
333,17727,209402,234998,7869
510,17940,222728,248647,7979
714,17634,235615,261335,8086
834,16272,243778,268212,8162
1137,14971,251297,274504,8236
1401,17291,261105,286716,8320
1540,16346,270888,295647,8413
1947,15904,282555,307024,8565
2233,15525,292487,316664,8652
2612,15704,303006,327509,8799
2909,14540,308343,331780,8897
3166,13628,315447,338036,8961
3507,15440,324105,348582,9037
3730,14278,334481,357896,9137
4144,14369,341332,364942,9241
4528,15219,352410,376961,9332
4811,16564,361883,387925,9478
5033,15028,369530,394141,9583
5228,13531,372002,395194,9661
5408,16892,383886,410564,9786
5567,16585,395075,421547,9887
5828,17885,403882,431743,9976
6021,18908,414303,443273,10062
6325,20144,424732,455032,10156
6463,19571,431425,461233,10237
6598,19295,437225,466804,10284
6694,20650,446323,477304,10331
6776,17858,457761,486003,10384
6973,15509,468779,494711,10423
7117,15298,477303,503051,10450
7243,14070,485929,510479,10480
7368,13788,490321,514621,10512
7447,13391,494815,518743,10537
7534,14651,502223,527438,10564
7616,15026,508935,534552,10591
7757,14268,513894,538775,10613
7829,14186,521642,546463,10635
7937,13550,530631,554834,10653
8042,12243,536205,559109,10661
8114,11981,540380,563035,10674
8213,12721,547610,571014,10683
8277,12121,555144,577959,10694
8411,10139,563130,583971,10702
8501,9600,569212,589520,10708
8635,9259,575184,595161,10718
8717,8999,578558,598285,10728
8764,8895,582027,601660,10738
8854,9203,588559,608514,10752
8922,8307,595129,614197,10761
9059,8634,600482,619881,10765
9072,8685,603610,623069,10774
9123,8496,608286,627562,10780
9183,8588,611592,630973,10793
9217,8176,614944,633921,10801
9283,8858,620575,640237,10804
9333,8009,624280,643095,10806
9419,8429,630149,649388,10810
9484,8867,635174,654863,10822
9568,9153,640037,660030,10840
9610,10128,642884,663886,10874
9632,10922,646661,668492,10909
9670,16330,653624,680890,10936
9695,19579,665379,695920,10962
9762,20722,679771,711484,10991
9821,19875,695854,726747,11018
9851,18343,711265,740645,11037
9888,17660,718943,747653,11050
9904,16093,726053,753211,11065
9938,16925,737571,765574,11078
10066,16351,748972,776433,11110
10135,18089,759473,788684,11122
10162,20286,770990,802418,11142
10194,21569,781686,814420,11165
10213,20333,788766,820289,11190
10226,19089,796142,826437,11206
10275,22044,806206,839475,11225
10295,21061,820550,852876,11265
10340,22370,834952,868666,11344
10363,24557,849161,885120,11402
10398,26298,865162,902901,11441
10405,23294,876060,910822,11468
10422,24058,885830,921391,11503
10446,28922,899388,939851,11541
10467,27865,917397,956852,11590
10499,28199,934030,973858,11629
10506,28766,950526,990960,11668
10531,27954,965632,1005305,11719
10552,26481,974512,1012769,11776
10563,24374,982026,1018213,11814
10589,27459,996686,1035996,11852
10611,26223,1013847,1051971,11902
10654,25494,1029447,1066887,11947
10669,24244,1045240,1081486,12003
10691,23352,1059301,1094703,12051
10718,21356,1066887,1100327,12085
10730,20793,1072805,1105719,12121
10760,22632,1084980,1119767,12155
10774,21489,1099136,1132823,12198
10800,21714,1111741,1145712,12257
10835,21190,1124567,1158063,12306
10856,21470,1137058,1170901,12373
10868,20071,1143971,1176463,12421
10881,19403,1150225,1182066,12438
10908,22278,1161250,1196012,12484
10930,20245,1175817,1208597,12535
10974,18900,1189015,1220478,12563
11172,18828,1200885,1232315,12602
11317,19866,1211261,1243780,12653
11364,19005,1219975,1251695,12715
11429,18499,1228698,1259954,12757
11537,20809,1240157,1273765,12800
11613,19526,1252855,1285231,12850
11684,19782,1263276,1295962,12904
11759,21560,1273234,1307761,12967
11811,22321,1284172,1319521,13030
11832,21649,1291317,1326055,13091
11848,21292,1297367,1331796,13137
11914,23675,1309338,1346194,13181
11970,24012,1322479,1359734,13244
12019,23912,1334566,1371771,13293
12065,23527,1348025,1384890,13338
12144,22950,1360618,1396941,13373
12178,21830,1366897,1402144,13417
12204,21845,1372988,1408312,13479
12282,24289,1382815,1420616,13512
12348,23297,1394468,1431316,13551
12396,23404,1404332,1441348,13612
12460,23110,1414235,1451017,13672
12519,22923,1423570,1460204,13711
12556,21953,1429601,1465299,13745
12572,21302,1435120,1470193,13771
12643,23864,1444710,1482390,13816
12698,21751,1456441,1492071,13879
12758,21418,1465498,1500854,13938
12817,20559,1475789,1510327,13979
12866,19681,1484861,1518634,14092
12890,19214,1489562,1522926,14150
12905,18770,1494029,1526974,14175
13007,20444,1503057,1537704,14203
13069,19326,1513730,1547307,14251
13132,19018,1522928,1556215,14269
13183,18330,1531161,1563796,14305
13233,18278,1539216,1571830,14336
13259,17768,1544112,1576246,14366
13280,17401,1547967,1579757,14389
13352,18724,1556633,1589780,14423
13406,18490,1565241,1598187,14456
13501,18031,1573957,1606487,14499
13543,17068,1582065,1613652,14519
13629,16105,1589847,1620514,14562
13642,16803,1593249,1624650,14598
13658,16396,1597281,1628303,14626
13729,17489,1605695,1637844,14660
13786,17375,1614563,1646652,14714
13817,17798,1622330,1654898,14770
13863,20132,1630079,1665084,14873
13901,21618,1638639,1675296,15039
13910,22005,1644464,1681787,15318
13917,22964,1649991,1688470,15515
13934,25219,1656062,1697042,15761
14006,31022,1667984,1715064,16058
14063,34998,1682739,1734083,16346
14120,38045,1699408,1754123,16670
14169,42427,1716371,1775800,17002
14200,47564,1726223,1791186,17399
14219,47995,1738762,1804422,17665
14286,50362,1757530,1825837,17945
14368,52795,1778446,1849506,18265
14461,52041,1798832,1869579,18706
14551,50711,1817929,1887717,19077
14765,54046,1835883,1909329,19400
14903,58021,1846450,1924170,19699
14973,57876,1859866,1937689,19947
15198,56743,1882155,1959080,20182
15356,56748,1903098,1980295,20449
15529,55524,1924384,2000552,20644
15783,52266,1945798,2018906,20842
16009,52077,1963958,2037045,21010
16146,49621,1975137,2045935,21177
